feature,inferred_type,train_non_null_ratio,test_non_null_ratio,train_numeric_parse_ratio,test_numeric_parse_ratio,train_unique_ratio_non_null,id_like_flag,spearman_with_log_correction,drift_metric_name,drift_metric_value
esg_firma_kapitel-import-export__import-quote__wert,categorical,0.17121618328052646,0.16998912649510692,0.17121618328052646,0.16998912649510692,0.056227758007117434,0,,tv_categorical,0.022279444040495148
umsatz_unternehmen_umsatz-gesamt__wert_steigung,numeric,0.8569339507677309,0.8633562885103299,0.8569339507677309,0.8633562885103299,0.7289533560864618,0,-0.038232497708144346,psi_numeric,0.022124535383885313
drd_max_gewichtetes_vereinbartes_ziel,numeric,0.8179380940775043,0.8039144617615078,0.8179380940775043,0.8039144617615078,0.018772348033373062,0,-0.08389961102779978,psi_numeric,0.02186904219005156
esg_firma_kapitel-rechtsform-und-gruendung__datum-erste-rechtsform__:jahr,categorical,0.054106751157689495,0.04603117071402682,0.054106751157689495,0.04603117071402682,0.21846846846846846,0,,tv_categorical,0.02186684006796005
esg_firma_kapitel-immobilien__miet-angaben__monatsmiete__wert,categorical,0.43456007799171337,0.4305907937658572,0.43456007799171337,0.4305907937658572,0.18227706113292205,0,,tv_categorical,0.02186670756119803
esg_firma_environmental__erdgas__quelle,categorical,0.48696076041920544,0.4726350126857557,0.0,0.0,0.0012512512512512512,0,,tv_categorical,0.021615165557923692
esg_firma_social__anteil-frauen__mitarbeiter-quelle,categorical,0.9048257372654156,0.898876404494382,0.0,0.0,0.0013468013468013469,0,,tv_categorical,0.02140302223189621
esg_firma_kapitel-geschaefts-gegenstand__tatsaechliche-taetigkeit,categorical,0.08286619546673166,0.0721275824574121,0.012429929320009749,0.013048205871692642,0.8573529411764705,0,,tv_categorical,0.021365721578381677
esg_firma_esg-bewertung__input__fluktuationsquote-prozent,categorical,0.10394833048988544,0.11670895251902863,0.10394833048988544,0.11670895251902863,0.3376318874560375,0,,tv_categorical,0.02125980450659032
esg_firma_environmental__co2-ausstoss-gesamt__emissions-reduktions-jahr-quelle,categorical,0.08700950524006824,0.10801014860456687,0.0,0.0,0.0070028011204481795,0,,tv_categorical,0.021253775448917482
umsatz_konzern_anzahl,categorical,0.09992688276870583,0.11888365349764407,0.09992688276870583,0.11888365349764407,0.007317073170731708,0,,tv_categorical,0.021169545317180086
esg_firma_kapitel-branchen__herkunft-qualitaet__herkunft,categorical,0.7571289300511821,0.7593330916998913,0.0,0.0,0.00370191533880573,0,,tv_categorical,0.02111557089610875
esg_firma_social__kuendigungen__fluktuationsquote,categorical,0.10394833048988544,0.11670895251902863,0.10394833048988544,0.11670895251902863,0.3388042203985932,0,,tv_categorical,0.020831719327356814
esg_firma_governance__anzahl-eigentuemer__quelle,categorical,0.8301242992932001,0.8126132656759696,0.0,0.0,0.001467997651203758,0,,tv_categorical,0.02052092471698986
esg_firma_social__anteil-frauen__management-quelle,categorical,0.7539605166951011,0.7509967379485321,0.0,0.0,0.0016162922256343947,0,,tv_categorical,0.020173271142315187
esg_firma_environmental__wasserverbrauch__quelle,categorical,0.99719717280039,0.9952881478796666,0.0,0.0,0.0012220457045093486,0,,tv_categorical,0.02001368883189723
esg_firma_ansprechpartner__name,categorical,0.695954179868389,0.676332004349402,0.0,0.0,0.0001751006828926633,0,,tv_categorical,0.01962217551898704
esg_firma_social__anzahl-mitarbeiter__quelle,categorical,0.9785522788203753,0.9768031895614353,0.0,0.0,0.0012453300124533001,0,,tv_categorical,0.019360032974749405
esg_firma_governance__esg-zertifizierungen__vorhanden,categorical,0.6016329514989033,0.5994925697716564,0.0,0.0,0.00040510431436094796,0,,tv_categorical,0.019259372004519028
esg_firma_environmental__co2-ausstoss-gesamt__emissions-reduktions-quote-quelle,categorical,0.08640019497928345,0.10438564697354114,0.0,0.0,0.007052186177715092,0,,tv_categorical,0.01864807414230362
esg_firma_environmental__co2-reduktionsplaene__risiko-einschaetzung,categorical,0.23994638069705093,0.23595505617977527,0.23994638069705093,0.23595505617977527,0.002031488065007618,0,,tv_categorical,0.018631422459207153
import_anzahl_zeilen_import_länder,categorical,0.1414818425542286,0.13156940920623414,0.1414818425542286,0.13156940920623414,0.008613264427217916,0,,tv_categorical,0.018238054051628316
esg_firma_governance__korruption-richtlinie__quelle,categorical,0.9116500121862052,0.9133744110184849,0.0,0.0,0.0012030477208929287,0,,tv_categorical,0.018205899077373085
esg_firma_governance__compliance-richtlinie__vorhanden,categorical,0.8858152571289301,0.8825661471547662,0.0,0.0,0.00027514100976750583,0,,tv_categorical,0.01793677784366801
esg_firma_kapitel-kapital-struktur__zusatzinfo-struktur-kg__kommanditeinlage__:genauigkeit,categorical,0.14330977333658299,0.1254077564334904,0.0,0.0,0.0008503401360544217,0,,tv_categorical,0.01790201690309258
esg_firma_kapitel-kapital-struktur__zusatzinfo-struktur-kg__kommanditeinlage__waehrung,categorical,0.14330977333658299,0.1254077564334904,0.0,0.0,0.0008503401360544217,0,,tv_categorical,0.01790201690309258
esg_firma_governance__compliance-richtlinie__quelle,categorical,0.8848403607116744,0.8796665458499456,0.0,0.0,0.00123949869164027,0,,tv_categorical,0.01753435480734975
esg_firma_environmental__elektrizitaet__quelle,categorical,0.8523031927857665,0.8452337803552011,0.0,0.0,0.0014297969688304261,0,,tv_categorical,0.0174689406358222
esg_firma_environmental__elektrizitaet__anteil-erneuerbar-quelle,categorical,0.8523031927857665,0.8452337803552011,0.0,0.0,0.0014297969688304261,0,,tv_categorical,0.0174689406358222
zertifikate_Arbeitsschutz/Soziales,categorical,0.027175237631001707,0.044581370061616526,0.027175237631001707,0.044581370061616526,0.013452914798206279,0,,tv_categorical,0.01740613243061483
immobilie_betriebsflaeche__wert,categorical,0.06531805995612966,0.06197897789054005,0.06531805995612966,0.06197897789054005,0.5485074626865671,0,,tv_categorical,0.01729096196994094
esg_firma_environmental__erdgas__einheit,categorical,0.4837923470631245,0.4711852120333454,0.24896417255666586,0.2529902138455962,0.0007556675062972292,0,,tv_categorical,0.017114352540600744
esg_firma_esg-bewertung__bewertung__branchendurchschnitt__esg-score,numeric,1.0,1.0,1.0,1.0,0.011820619059224957,0,0.14806439349428674,psi_numeric,0.017107818362328213
esg_firma_kapitel-handelsregister__registerart,categorical,0.8035583719229832,0.7981152591518667,0.0,0.0,0.001213224143160449,0,,tv_categorical,0.016984628420562687
esg_firma_social__krankheitsquote__wert,categorical,0.03911771874238362,0.051830373323667994,0.03911771874238362,0.051830373323667994,0.4174454828660436,0,,tv_categorical,0.016967292119195704
esg_firma_firma-esg-score-2__branchendurchschnitt__esg-score,numeric,1.0,0.9996375498368975,1.0,0.9996375498368975,0.011820619059224957,0,0.1481134018409262,psi_numeric,0.016414462688883753
esg_firma_environmental__elektrizitaet__wert,numeric,0.8551060199853766,0.849583182312432,0.8551060199853766,0.849583182312432,0.5146073820721105,0,-0.053125160778504474,psi_numeric,0.016396425147365012
drd_mean_belegsumme_pro_lieferenat,numeric,0.8179380940775043,0.8039144617615078,0.8179380940775043,0.8039144617615078,0.8124255065554231,0,-0.05375311982740402,psi_numeric,0.016262813790193356
esg_firma_social__krankheitsquote__quelle,categorical,0.038752132585912744,0.051830373323667994,0.0,0.0,0.018867924528301886,0,,tv_categorical,0.015959467771572866
esg_firma_social__kuendigungen__fluktuationsquote-quelle,categorical,0.10224226175968804,0.11417180137731062,0.0,0.0,0.00834326579261025,0,,tv_categorical,0.015920069094326035
branche_7,categorical,0.01450158420667804,0.019934758970641536,0.01450158420667804,0.019934758970641536,0.5546218487394958,0,,tv_categorical,0.015741494148015553
esg_firma_firma-esg-score-2__archiv-input__umsatz-konzern,categorical,0.7995369242018036,0.8122508155128669,0.7995369242018036,0.8122508155128669,0.00030483158055174517,0,,tv_categorical,0.015623033102750913
esg_firma_environmental__co2-ausstoss-gesamt__scope-2-quelle,categorical,0.18778942237387278,0.20333454150054367,0.0,0.0,0.003244646333549643,0,,tv_categorical,0.015545119126670894
export_anzahl_zeilen_export_länder,categorical,0.19193273214720935,0.18992388546574845,0.19193273214720935,0.18992388546574845,0.006349206349206349,0,,tv_categorical,0.015342472118589691
esg_firma_environmental__co2-ausstoss-gesamt__scope-1-quelle,categorical,0.19168900804289543,0.2069590431315694,0.0,0.0,0.003178639542275906,0,,tv_categorical,0.015270035088673969
esg_firma_governance__korruption-richtlinie__vorhanden,categorical,0.9126249086034609,0.915911562160203,0.0,0.0,0.00026705835224996664,0,,tv_categorical,0.015233860742636787
esg_firma_esg-bewertung__input__korruption-richtlinie,categorical,0.9126249086034609,0.915911562160203,0.0,0.0,0.00026705835224996664,0,,tv_categorical,0.015233860742636787
drd_min_gewichtetes_vereinbartes_ziel,numeric,0.8179380940775043,0.8039144617615078,0.8179380940775043,0.8039144617615078,0.00968414779499404,0,-0.03033619347087545,psi_numeric,0.014910306089424327
esg_firma_governance__wirtschaftspruefung__bestaetigungsvermerk-uneingeschraenkt,categorical,0.14964660004874483,0.16455237404856832,0.0,0.0,0.0016286644951140066,0,,tv_categorical,0.014905773999823506
esg_firma_social__anteil-frauen__fuehrung,categorical,0.07372654155495978,0.08010148604566872,0.07372654155495978,0.08010148604566872,0.07933884297520662,0,,tv_categorical,0.014864961917114856
immobilie_size,categorical,0.11808432854009261,0.130844508880029,0.11808432854009261,0.130844508880029,0.010319917440660475,0,,tv_categorical,0.014725653141289185
esg_firma_social__anteil-frauen__mitarbeiter,numeric,0.9083597367779673,0.9046756071040232,0.9083597367779673,0.9046756071040232,0.10195867990340757,0,0.1390028122782072,psi_numeric,0.014689147359692449
